sim_id,movienames
155,022030_LUS_MARGINAIS_66299000_|016340_LUS_PLANETAMACACOSORIGEM_65275000_|000055_LUS_TCAESMERECEMCEU_|028365_LUS_1CONTODENATAL_52455000_VP_|016322_LUS_127HORAS_64472000_|000069_LUS_TMNTNOVAAVENTURA_|016574_LUS_HORTONEQUEM_VP_65251000_|028732_LUS_MEDOPRIMARIO_66502000_|020719_LUS_SCARYMOVIE3_63800000_|021285_LUS_MATCASREENCARN_61631000_|016600_LUS_XMENCONFRONTO_65292000_|020701_LUS_MIRASSASSINO_63171000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|029318_LUS_TEMOSFALARSOBKEVIN_65924000_|012908_LUS_BEASTLY_
156,022078_LUS_RUNAWAYS_61924000_|002578_LUS_OELEFANTEAZUL_|014682_LUS_COLOMBIANA_|001015_LUS_MACACOSESPACO_VP_|028341_LUS_VISITANTESNAMERICA_53617000_|010965_LUS_BLUEVALENTINE_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|008541_LUS_GRANDEMOCAMEU_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|002691_LUS_SINAISDOFUTURO_|001080_LUS_HISTINTERMINAVEL_|016624_LUS_IDADEGELO3_VP_65261000_|014695_LUS_KILLERELITE_|027692_LUS_MALDICAOCHUCKY_67183000_|027940_LUS_HOSPEDESINDESEJADOS_67234000
157,025631_LUS_SOZINHA_65200000_|024607_LUS_AMITYVILLE_64985000_|000209_LUS_PAPUCAEDENTUCA_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|025690_LUS_TERRAPROMET_65827000_|003004_LUS_CORALINE_|001023_LUS_HOMEMDEFERRO_|026458_LUS_LADRCOMESTILO_63638000_|014177_LUS_SPYKIDS4_|026881_LUS_PEDACINHOPARAISO_61913000_|028341_LUS_VISITANTESNAMERICA_53617000_|022076_LUS_OSILENCIO_66325000_|011414_LUS_1MAEEMAPUROS_|015162_LUS_MEDOPROFUNDO_63035000_|008745_LUS_300_
158,014691_LUS_WANTED_|026880_LUS_HOMEMABATER_64426000_|008413_LUS_ECLIPSE_|010931_LUS_DISCURSODOREI_|001547_LUS_TWILIGHT_HD_|008541_LUS_GRANDEMOCAMEU_|002006_LUS_ADUQUESA_HD_|005736_LUS_JOGO_HD_|013673_LUS_ANIMAISUNIDOS_|013410_LUS_ARTURVING2_VP_HD_|022079_LUS_ASSASSINOEMIM_62635000_|000244_LUS_B13GANGSBAIRRO13_|028364_LUS_1CONTODENATAL_52455000_VO_|002208_LUS_OGLADIADOR_|016614_LUS_ATOUPEIRA_5259000_
159,017793_LUS_REBELDSALVADOR_65663000_|028347_LUS_PELE_54257000_|001015_LUS_MACACOSESPACO_VP_|002008_LUS_QUEMQUERSMILION_HD_|004798_LUS_PORAMOR_|008745_LUS_300_|002006_LUS_ADUQUESA_HD_|000102_LUS_BRATZOFILMEVDOB_|022549_LUS_200KMHORA_66405000_|026458_LUS_LADRCOMESTILO_63638000_|025684_LUS_ZARAFA_VP_65340000_|022540_LUS_VINGANCA_61834000_|000209_LUS_PAPUCAEDENTUCA_|025114_LUS_CACADORULTIGRTASM_64724000_|008492_LUS_DARTACAO_OFILME_
160,020180_LUS_DESCARADAMENTEINFIEIS_64420000_|024227_LUS_PATOLOGIA_59218000_|015171_LUS_GANGSTERAMERICA_59235000_|019404_LUS_BALASEBOLINHOSREG_55945000_|017789_LUS_IDSECRETA_65581000_|028364_LUS_1CONTODENATAL_52455000_VO_|000265_LUS_SAWENIGMAMORTAL_|022541_LUS_RAPTADOS_60344000_|008147_LUS_HOMEMDEFERRO2_|026515_LUS_CATCH44_63349000_|021931_LUS_TERCEIROPASSO_62028000_|028367_LUS_VIDAN1MOMENTO_67281000_|009363_LUS_ULTIMOEXORCISMO_|000008_LUS_CIDADEBAIXA_|027638_LUS_STOKER_67075000_
161,001080_LUS_HISTINTERMINAVEL_|000069_LUS_TMNTNOVAAVENTURA_|020180_LUS_DESCARADAMENTEINFIEIS_64420000_|001097_LUS_STEPUP_|005738_LUS_REIESCORPIAO_|000104_LUS_COLECCIONADOROLHOS_|026645_LUS_BALACERTEIRA_67106000_|022078_LUS_RUNAWAYS_61924000_|026515_LUS_CATCH44_63349000_|019938_LUS_DAMADEFERRO_65660000_|021960_LUS_DARKTIDE_66294000_|025913_LUS_PEQNICOLAS_T2_VOL1_63311_695602D_|023531_LUS_VIDASECRETGATOS_53490000_|028333_LUS_POKEMON5_55561000_|012017_LUS_AULTIMANOITE_
162,022030_LUS_MARGINAIS_66299000_|028341_LUS_VISITANTESNAMERICA_53617000_|020157_LUS_ACEVENTURADETANIM_26668000_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|008413_LUS_ECLIPSE_|000291_LUS_ASTERIXVIKINGSVP_|002008_LUS_QUEMQUERSMILION_HD_|026441_LUS_SPINRITMLAT_58364000_|000877_LUS_VEMCOMIGO_|026969_LUS_ARANHAS_63574000_|024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|000092_LUS_TURISTAS_|022549_LUS_200KMHORA_66405000_|017090_LUS_ESPIAOFANTASM_62833000_|017789_LUS_IDSECRETA_65581000_
163,014691_LUS_WANTED_|014173_LUS_ACTIVPARANORMAL_|000292_LUS_ARTURMINIMEUSVP_|011979_LUS_SAW6_|026459_LUS_DOU1ANO_65849000_|024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|028730_LUS_CUMPLICE_66643000_|025701_LUS_SNITCH_63868000_|002027_LUS_DARKKNIGHT_HD_|013644_LUS_DIARIONPAIXAO_|016335_LUS_PINGUINSSRPOPPER_65269000_|017793_LUS_REBELDSALVADOR_65663000_|001353_LUS_BUSCAIMPLACAVEL_|018836_LUS_GETSMARTOLHOVIVO_62092000_|026441_LUS_SPINRITMLAT_58364000_
164,017791_LUS_DRIVEDUPLRISC_65661000_|016600_LUS_XMENCONFRONTO_65292000_|003006_LUS_NOLIMITEDOAMOR_|002578_LUS_OELEFANTEAZUL_|026645_LUS_BALACERTEIRA_67106000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|021285_LUS_MATCASREENCARN_61631000_|025690_LUS_TERRAPROMET_65827000_|021994_LUS_FILHOSHUANGSHI_58175000_|015162_LUS_MEDOPROFUNDO_63035000_|017793_LUS_REBELDSALVADOR_65663000_|015796_LUS_GATOBOTAS_VP_63550000_|011406_LUS_TROPAELITE2_|002691_LUS_SINAISDOFUTURO_|012017_LUS_AULTIMANOITE_
165,023518_LUS_SAFEOINTOCAVEL_66511000_|002560_LUS_VELFUR_LIGATOQUIO_|027117_LUS_10ANOSDEPOIS_66422000_|002562_LUS_SCARYMOVIE2_|022540_LUS_VINGANCA_61834000_|003249_LUS_HARRYPOTTERPRISAZK_|025701_LUS_SNITCH_63868000_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|002027_LUS_DARKKNIGHT_HD_|002006_LUS_ADUQUESA_HD_|028405_LUS_3096DIAS_65991000_|008535_LUS_CARTASPARAJULIETA_|020166_LUS_GRAVIDAMASPOUCO_61648000_|028369_LUS_CENARIOMORTAL_67324000_|016644_LUS_APOLLO18_5439000_
166,000092_LUS_TURISTAS_|002578_LUS_OELEFANTEAZUL_|028369_LUS_CENARIOMORTAL_67324000_|004537_LUS_PARAMINHAIRMA_|017153_LUS_NIKOTPNATAL_VP_65538_|021994_LUS_FILHOSHUANGSHI_58175000_|001015_LUS_MACACOSESPACO_VP_|027111_LUS_MANUALDAMOR_63585000_|009363_LUS_ULTIMOEXORCISMO_|013660_LUS_TINHASMSMSERTU_|022076_LUS_OSILENCIO_66325000_|020157_LUS_ACEVENTURADETANIM_26668000_|005736_LUS_JOGO_HD_|002008_LUS_QUEMQUERSMILION_HD_|018836_LUS_GETSMARTOLHOVIVO_62092000_
167,028347_LUS_PELE_54257000_|014173_LUS_ACTIVPARANORMAL_|020698_LUS_PESCASALMAOIEMEN_66079000_|004798_LUS_PORAMOR_|019363_LUS_ESPELHOMEU_VP_63742000_VP_|023518_LUS_SAFEOINTOCAVEL_66511000_|028731_LUS_116DESVIOMILHOES_66381000_|003006_LUS_NOLIMITEDOAMOR_|009382_LUS_VINGSUPRHOMFERRO_|022011_LUS_ASSIMVENDE1FILME_63551000_|024590_LUS_VIAGEMPOPEYE_66734000_|002205_LUS_ENGATE_|027111_LUS_MANUALDAMOR_63585000_|024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|016644_LUS_APOLLO18_5439000_
168,012618_LUS_THEMECHANICOPROFISSIONAL_|015851_LUS_1CALOIR7PASPALH_58698000_|013679_LUS_CACADORESDRAGOES_|008742_LUS_HACHIKO_|024586_LUS_KILLIRISHMAN_66731000_|024310_LUS_ANITAVOL1_DIAMAE_63310_695482D_|012606_LUS_ARTUR3GUERRA2MUNDOS_VP_|013410_LUS_ARTURVING2_VP_HD_|015028_LUS_OSSMURFS_64447_|027114_LUS_AMORELETRAS_65531000_|017793_LUS_REBELDSALVADOR_65663000_|022541_LUS_RAPTADOS_60344000_|022079_LUS_ASSASSINOEMIM_62635000_|028369_LUS_CENARIOMORTAL_67324000_|002691_LUS_SINAISDOFUTURO_
169,014691_LUS_WANTED_|018491_LUS_TRES_65031000_|021960_LUS_DARKTIDE_66294000_|003018_LUS_ZACKMIRIFAZEMPORNO_|013644_LUS_DIARIONPAIXAO_|026441_LUS_SPINRITMLAT_58364000_|010423_LUS_DIADETREINO_|002213_LUS_MAMMAMIA_HD_|026881_LUS_PEDACINHOPARAISO_61913000_|025114_LUS_CACADORULTIGRTASM_64724000_|001547_LUS_TWILIGHT_HD_|016335_LUS_PINGUINSSRPOPPER_65269000_|012618_LUS_THEMECHANICOPROFISSIONAL_|017825_LUS_PROMETAMARTE_63263000_|002008_LUS_QUEMQUERSMILION_HD_
170,020719_LUS_SCARYMOVIE3_63800000_|015796_LUS_GATOBOTAS_VP_63550000_|001547_LUS_TWILIGHT_HD_|001353_LUS_BUSCAIMPLACAVEL_|016575_LUS_GARFIELDFILME_65256000_|018789_LUS_EUSOUALENDA_62106000_|018880_LUS_BUSCIDADEPERD_70117000_|026881_LUS_PEDACINHOPARAISO_61913000_|027111_LUS_MANUALDAMOR_63585000_|028731_LUS_116DESVIOMILHOES_66381000_|022011_LUS_ASSIMVENDE1FILME_63551000_|026459_LUS_DOU1ANO_65849000_|024204_LUS_RUCACLUBECO_VOL6_63914_695370D_|013410_LUS_ARTURVING2_VP_HD_|015783_LUS_3MOSQUETEIROS_63020000_
171,000152_LUS_DUMBO_|014177_LUS_SPYKIDS4_|016327_LUS_BORAT_65245000_|015171_LUS_GANGSTERAMERICA_59235000_|011414_LUS_1MAEEMAPUROS_|025690_LUS_TERRAPROMET_65827000_|019404_LUS_BALASEBOLINHOSREG_55945000_|015175_LUS_NSEICELACONSEGUE_62846000_|002560_LUS_VELFUR_LIGATOQUIO_|010931_LUS_DISCURSODOREI_|018491_LUS_TRES_65031000_|014691_LUS_WANTED_|028395_LUS_PRINCIPIOINCERTEZA_57758000_|000092_LUS_TURISTAS_|015188_LUS_HOSPICIO_61785000_
172,003006_LUS_NOLIMITEDOAMOR_|028371_LUS_CONFIANCATRAIDA_67282000_|002509_LUS_YESMAN_|020162_LUS_MISTERIORUA7_63172000_|016321_LUS_RIO_VP_64471000_|018789_LUS_EUSOUALENDA_62106000_|000104_LUS_COLECCIONADOROLHOS_|004354_LUS_HARRYPOTTPRINCMIST_|027692_LUS_MALDICAOCHUCKY_67183000_|026512_LUS_FORCAG_61528000_VP_|003018_LUS_ZACKMIRIFAZEMPORNO_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|018775_LUS_AMULHERDENEGRO_63026000_|008492_LUS_DARTACAO_OFILME_|028730_LUS_CUMPLICE_66643000_
173,028367_LUS_VIDAN1MOMENTO_67281000_|025655_LUS_FOGCONTRAFOG_65786000_|018789_LUS_EUSOUALENDA_62106000_|028371_LUS_CONFIANCATRAIDA_67282000_|024645_LUS_VERTIGEM_61625000_|016333_LUS_XMENOINICIO_65291000_|001015_LUS_MACACOSESPACO_VP_|018880_LUS_BUSCIDADEPERD_70117000_|015188_LUS_HOSPICIO_61785000_|026515_LUS_CATCH44_63349000_|017825_LUS_PROMETAMARTE_63263000_|022529_LUS_LOLAVERSUS_63741000_|013634_LUS_LARRYCROWNE_|012029_LUS_TEKKENOFILME_|016574_LUS_HORTONEQUEM_VP_65251000_
174,002275_LUS_VELOCIDADEMFURIOSA_|027117_LUS_10ANOSDEPOIS_66422000_|001353_LUS_BUSCAIMPLACAVEL_|022541_LUS_RAPTADOS_60344000_|011979_LUS_SAW6_|028347_LUS_PELE_54257000_|016576_LUS_GARFIELD2_65257000_|024214_LUS_ANTICRISTO_51899000_|000055_LUS_TCAESMERECEMCEU_|025658_LUS_KICKBOXER3_55744000_|008147_LUS_HOMEMDEFERRO2_|020162_LUS_MISTERIORUA7_63172000_|028341_LUS_VISITANTESNAMERICA_53617000_|016333_LUS_XMENOINICIO_65291000_|021285_LUS_MATCASREENCARN_61631000_
175,028371_LUS_CONFIANCATRAIDA_67282000_|022030_LUS_MARGINAIS_66299000_|026458_LUS_LADRCOMESTILO_63638000_|010965_LUS_BLUEVALENTINE_|028354_LUS_VIDASELVAGEMFILME_67297000_|011979_LUS_SAW6_|026880_LUS_HOMEMABATER_64426000_|009382_LUS_VINGSUPRHOMFERRO_|017866_LUS_VERGONHA_63394000_|008179_LUS_OSMERCENARIOS_|001023_LUS_HOMEMDEFERRO_|026512_LUS_FORCAG_61528000_VP_|017109_LUS_HOMEMNOLIMITE_63401000_|000292_LUS_ARTURMINIMEUSVP_|012899_LUS_ARVOREDAVIDA_
176,015162_LUS_MEDOPROFUNDO_63035000_|000104_LUS_COLECCIONADOROLHOS_|022549_LUS_200KMHORA_66405000_|024205_LUS_AMERICANPIE1VEZ_51394000_|018491_LUS_TRES_65031000_|027692_LUS_MALDICAOCHUCKY_67183000_|027667_LUS_THEAST_67240000_|001547_LUS_TWILIGHT_HD_|025658_LUS_KICKBOXER3_55744000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|014159_LUS_HORAPONTA3_|002560_LUS_VELFUR_LIGATOQUIO_|002275_LUS_VELOCIDADEMFURIOSA_|012945_LUS_EMPRESTATEUNAMOR_|000138_LUS_AMOREODESASTRES_
177,027111_LUS_MANUALDAMOR_63585000_|002027_LUS_DARKKNIGHT_HD_|001547_LUS_TWILIGHT_HD_|028341_LUS_VISITANTESNAMERICA_53617000_|011979_LUS_SAW6_|017789_LUS_IDSECRETA_65581000_|024205_LUS_AMERICANPIE1VEZ_51394000_|000055_LUS_TCAESMERECEMCEU_|022541_LUS_RAPTADOS_60344000_|026516_LUS_CELESTEJESSEMPRE_65219000_|028395_LUS_PRINCIPIOINCERTEZA_57758000_|015783_LUS_3MOSQUETEIROS_63020000_|008492_LUS_DARTACAO_OFILME_|018855_LUS_ESPELHOMEU_63742000_|024854_LUS_10000AC_62050000_
178,022030_LUS_MARGINAIS_66299000_|002008_LUS_QUEMQUERSMILION_HD_|008742_LUS_HACHIKO_|028367_LUS_VIDAN1MOMENTO_67281000_|011407_LUS_THEDEPARTED_|022540_LUS_VINGANCA_61834000_|024537_LUS_TRIBO_59072000_|012908_LUS_BEASTLY_|019404_LUS_BALASEBOLINHOSREG_55945000_|021960_LUS_DARKTIDE_66294000_|022078_LUS_RUNAWAYS_61924000_|018874_LUS_ONGBAK3_65814000_|004537_LUS_PARAMINHAIRMA_|016322_LUS_127HORAS_64472000_|025693_LUS_TUDOPOR1BEBE_64425000_
179,024586_LUS_KILLIRISHMAN_66731000_|022011_LUS_ASSIMVENDE1FILME_63551000_|026645_LUS_BALACERTEIRA_67106000_|001097_LUS_STEPUP_|016589_LUS_METODPERIGOSO_5027000_|017825_LUS_PROMETAMARTE_63263000_|015028_LUS_OSSMURFS_64447_|021942_LUS_NATALPERDIDO_65362000_|024854_LUS_10000AC_62050000_|016576_LUS_GARFIELD2_65257000_|001023_LUS_HOMEMDEFERRO_|000055_LUS_TCAESMERECEMCEU_|025076_LUS_SEMTI_61341000_|022078_LUS_RUNAWAYS_61924000_|019404_LUS_BALASEBOLINHOSREG_55945000_
180,020480_LUS_NALIEUE13ULT_61619000_|008492_LUS_DARTACAO_OFILME_|026881_LUS_PEDACINHOPARAISO_61913000_|010083_LUS_PRECOTRAICAO_|002509_LUS_YESMAN_|020698_LUS_PESCASALMAOIEMEN_66079000_|024537_LUS_TRIBO_59072000_|028345_LUS_CHIMPASEMPERIGO_55136000_|028730_LUS_CUMPLICE_66643000_|012576_LUS_OCODIGOBASE_|020166_LUS_GRAVIDAMASPOUCO_61648000_|024595_LUS_DUPLOIMPACTO_65440000_|024203_LUS_PEQNICOLAS_VOL8_62592_695371D_|022541_LUS_RAPTADOS_60344000_|017793_LUS_REBELDSALVADOR_65663000_
181,015796_LUS_GATOBOTAS_VP_63550000_|011406_LUS_TROPAELITE2_|000138_LUS_AMOREODESASTRES_|028730_LUS_CUMPLICE_66643000_|024590_LUS_VIAGEMPOPEYE_66734000_|026512_LUS_FORCAG_61528000_VP_|022540_LUS_VINGANCA_61834000_|024854_LUS_10000AC_62050000_|014159_LUS_HORAPONTA3_|028369_LUS_CENARIOMORTAL_67324000_|012576_LUS_OCODIGOBASE_|016321_LUS_RIO_VP_64471000_|000265_LUS_SAWENIGMAMORTAL_|025690_LUS_TERRAPROMET_65827000_|000008_LUS_CIDADEBAIXA_
182,013644_LUS_DIARIONPAIXAO_|015162_LUS_MEDOPROFUNDO_63035000_|024586_LUS_KILLIRISHMAN_66731000_|025658_LUS_KICKBOXER3_55744000_|000209_LUS_PAPUCAEDENTUCA_|028371_LUS_CONFIANCATRAIDA_67282000_|002578_LUS_OELEFANTEAZUL_|011406_LUS_TROPAELITE2_|018827_LUS_APRESA_64399000_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|024864_LUS_CISNENEGRO_64470000_|003150_LUS_DIARIODAPRINCESA_|026516_LUS_CELESTEJESSEMPRE_65219000_|022077_LUS_HESHER_61764000_|017793_LUS_REBELDSALVADOR_65663000_
183,015796_LUS_GATOBOTAS_VP_63550000_|000092_LUS_TURISTAS_|009363_LUS_ULTIMOEXORCISMO_|026459_LUS_DOU1ANO_65849000_|028405_LUS_3096DIAS_65991000_|012908_LUS_BEASTLY_|002509_LUS_YESMAN_|026969_LUS_ARANHAS_63574000_|000080_LUS_SAW3OLEGADO_|021994_LUS_FILHOSHUANGSHI_58175000_|011407_LUS_THEDEPARTED_|016631_LUS_JUSTICA_62092000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|011405_LUS_OEXORCISMO_|025706_LUS_BRACODIREITSATAN_56325000_
184,022529_LUS_LOLAVERSUS_63741000_|021987_LUS_MUNDENCANTGIGI_60283000_VP_|028731_LUS_116DESVIOMILHOES_66381000_|020184_LUS_LOCKOUT_63737000_|002205_LUS_ENGATE_|025655_LUS_FOGCONTRAFOG_65786000_|003004_LUS_CORALINE_|014173_LUS_ACTIVPARANORMAL_|001023_LUS_HOMEMDEFERRO_|000008_LUS_CIDADEBAIXA_|008179_LUS_OSMERCENARIOS_|013644_LUS_DIARIONPAIXAO_|026879_LUS_REGRASILENCIO_65567000_|017791_LUS_DRIVEDUPLRISC_65661000_|028365_LUS_1CONTODENATAL_52455000_VP_
185,008147_LUS_HOMEMDEFERRO2_|026461_LUS_DESPERTAR_63765000_|018778_LUS_AMYWINEADEUS_64700000_|004537_LUS_PARAMINHAIRMA_|022540_LUS_VINGANCA_61834000_|028401_LUS_GARFIELDFESTIVCOMED_61365000_VP_|023518_LUS_SAFEOINTOCAVEL_66511000_|016631_LUS_JUSTICA_62092000_|003018_LUS_ZACKMIRIFAZEMPORNO_|025690_LUS_TERRAPROMET_65827000_|019363_LUS_ESPELHOMEU_VP_63742000_VP_|029647_LUS_ROMANCEARRISCADO_55158000_|011405_LUS_OEXORCISMO_|018880_LUS_BUSCIDADEPERD_70117000_|012550_LUS_WINXAVENTURAMAGICA_
186,001547_LUS_TWILIGHT_HD_|026879_LUS_REGRASILENCIO_65567000_|026880_LUS_HOMEMABATER_64426000_|010427_LUS_SONHADORES_|002560_LUS_VELFUR_LIGATOQUIO_|018827_LUS_APRESA_64399000_|014695_LUS_KILLERELITE_|017866_LUS_VERGONHA_63394000_|029647_LUS_ROMANCEARRISCADO_55158000_|017789_LUS_IDSECRETA_65581000_|004421_LUS_INIMIGOSPUBLICOS_|022529_LUS_LOLAVERSUS_63741000_|022540_LUS_VINGANCA_61834000_|005372_LUS_PLANETA51_VP_|021942_LUS_NATALPERDIDO_65362000_
187,002208_LUS_OGLADIADOR_|020162_LUS_MISTERIORUA7_63172000_|028732_LUS_MEDOPRIMARIO_66502000_|020480_LUS_NALIEUE13ULT_61619000_|029107_LUS_DIARPRINCNOIVREAL_55797000_|000080_LUS_SAW3OLEGADO_|010965_LUS_BLUEVALENTINE_|022581_LUS_SABORPAIXAO_56589000_|000055_LUS_TCAESMERECEMCEU_|027942_LUS_AVENTPEQPOLEGAREZINHA_54753000_VP_|009690_LUS_RED_|028334_LUS_POKEMON6_65678000_|025690_LUS_TERRAPROMET_65827000_|020157_LUS_ACEVENTURADETANIM_26668000_|018836_LUS_GETSMARTOLHOVIVO_62092000_
188,015162_LUS_MEDOPROFUNDO_63035000_|015796_LUS_GATOBOTAS_VP_63550000_|000069_LUS_TMNTNOVAAVENTURA_|013679_LUS_CACADORESDRAGOES_|016624_LUS_IDADEGELO3_VP_65261000_|007405_LUS_ASTROBOY_|012945_LUS_EMPRESTATEUNAMOR_|000265_LUS_SAWENIGMAMORTAL_|020180_LUS_DESCARADAMENTEINFIEIS_64420000_|022536_LUS_OSUBSTITUTO_66413000_|020480_LUS_NALIEUE13ULT_61619000_|029647_LUS_ROMANCEARRISCADO_55158000_|018491_LUS_TRES_65031000_|015788_LUS_CAPUCHVERM_NAVENT_65128000_|013673_LUS_ANIMAISUNIDOS_
189,026902_LUS_GRANDEDIA_63777000_|010083_LUS_PRECOTRAICAO_|021995_LUS_MORTENEGRA_60346000_|013673_LUS_ANIMAISUNIDOS_|018855_LUS_ESPELHOMEU_63742000_|002691_LUS_SINAISDOFUTURO_|010965_LUS_BLUEVALENTINE_|026516_LUS_CELESTEJESSEMPRE_65219000_|028333_LUS_POKEMON5_55561000_|026459_LUS_DOU1ANO_65849000_|016631_LUS_JUSTICA_62092000_|000055_LUS_TCAESMERECEMCEU_|004354_LUS_HARRYPOTTPRINCMIST_|026515_LUS_CATCH44_63349000_|020698_LUS_PESCASALMAOIEMEN_66079000_
190,024537_LUS_TRIBO_59072000_|026877_LUS_PANTERACOROSA_65436000_|011003_LUS_GNOMEUEJULIETA_VP_|024227_LUS_PATOLOGIA_59218000_|008770_LUS_STEPUP3_|016614_LUS_ATOUPEIRA_5259000_|017090_LUS_ESPIAOFANTASM_62833000_|026461_LUS_DESPERTAR_63765000_|009382_LUS_VINGSUPRHOMFERRO_|018789_LUS_EUSOUALENDA_62106000_|000877_LUS_VEMCOMIGO_|021930_LUS_POCAHONTASVP_27878000_VP_|024587_LUS_MONGOL_66732000_|000812_LUS_MATADORAS_|027942_LUS_AVENTPEQPOLEGAREZINHA_54753000_VP_
191,015171_LUS_GANGSTERAMERICA_59235000_|025658_LUS_KICKBOXER3_55744000_|000092_LUS_TURISTAS_|016600_LUS_XMENCONFRONTO_65292000_|016335_LUS_PINGUINSSRPOPPER_65269000_|029107_LUS_DIARPRINCNOIVREAL_55797000_|000248_LUS_CRIMEPADREAMARO_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|020698_LUS_PESCASALMAOIEMEN_66079000_|016575_LUS_GARFIELDFILME_65256000_|025684_LUS_ZARAFA_VP_65340000_|000080_LUS_SAW3OLEGADO_|028488_LUS_TURBULENCIASAMOR_67032000_|022077_LUS_HESHER_61764000_|011979_LUS_SAW6_
192,027117_LUS_10ANOSDEPOIS_66422000_|011003_LUS_GNOMEUEJULIETA_VP_|028365_LUS_1CONTODENATAL_52455000_VP_|004354_LUS_HARRYPOTTPRINCMIST_|029318_LUS_TEMOSFALARSOBKEVIN_65924000_|017090_LUS_ESPIAOFANTASM_62833000_|020166_LUS_GRAVIDAMASPOUCO_61648000_|016631_LUS_JUSTICA_62092000_|021995_LUS_MORTENEGRA_60346000_|019938_LUS_DAMADEFERRO_65660000_|025693_LUS_TUDOPOR1BEBE_64425000_|024863_LUS_POLAREXPRESS_62129000_VP_|002213_LUS_MAMMAMIA_HD_|015851_LUS_1CALOIR7PASPALH_58698000_|002562_LUS_SCARYMOVIE2_
193,015851_LUS_1CALOIR7PASPALH_58698000_|011407_LUS_THEDEPARTED_|024537_LUS_TRIBO_59072000_|027638_LUS_STOKER_67075000_|024587_LUS_MONGOL_66732000_|027114_LUS_AMORELETRAS_65531000_|017793_LUS_REBELDSALVADOR_65663000_|025076_LUS_SEMTI_61341000_|008535_LUS_CARTASPARAJULIETA_|009363_LUS_ULTIMOEXORCISMO_|025658_LUS_KICKBOXER3_55744000_|000104_LUS_COLECCIONADOROLHOS_|002509_LUS_YESMAN_|026458_LUS_LADRCOMESTILO_63638000_|012899_LUS_ARVOREDAVIDA_
194,012576_LUS_OCODIGOBASE_|028347_LUS_PELE_54257000_|025693_LUS_TUDOPOR1BEBE_64425000_|024205_LUS_AMERICANPIE1VEZ_51394000_|028732_LUS_MEDOPRIMARIO_66502000_|022540_LUS_VINGANCA_61834000_|011003_LUS_GNOMEUEJULIETA_VP_|008535_LUS_CARTASPARAJULIETA_|008179_LUS_OSMERCENARIOS_|000069_LUS_TMNTNOVAAVENTURA_|005736_LUS_JOGO_HD_|021931_LUS_TERCEIROPASSO_62028000_|014159_LUS_HORAPONTA3_|010427_LUS_SONHADORES_|003150_LUS_DIARIODAPRINCESA_
195,000076_LUS_OFIELJARDINEIRO_|026515_LUS_CATCH44_63349000_|025655_LUS_FOGCONTRAFOG_65786000_|019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_|026881_LUS_PEDACINHOPARAISO_61913000_|025076_LUS_SEMTI_61341000_|000291_LUS_ASTERIXVIKINGSVP_|026512_LUS_FORCAG_61528000_VP_|010931_LUS_DISCURSODOREI_|024854_LUS_10000AC_62050000_|022549_LUS_200KMHORA_66405000_|004795_LUS_ORFA_|025706_LUS_BRACODIREITSATAN_56325000_|018789_LUS_EUSOUALENDA_62106000_|028364_LUS_1CONTODENATAL_52455000_VO_
196,000069_LUS_TMNTNOVAAVENTURA_|015851_LUS_1CALOIR7PASPALH_58698000_|008745_LUS_300_|020719_LUS_SCARYMOVIE3_63800000_|009363_LUS_ULTIMOEXORCISMO_|002208_LUS_OGLADIADOR_|018874_LUS_ONGBAK3_65814000_|023531_LUS_VIDASECRETGATOS_53490000_|005403_LUS_NINJASSASSI_|016327_LUS_BORAT_65245000_|021966_LUS_SEGBBMOUNT_UNIVERSAL_64307000_|017847_LUS_GHOSTRIDERVING_63304000_|020480_LUS_NALIEUE13ULT_61619000_|026877_LUS_PANTERACOROSA_65436000_|001857_LUS_TRANSPORTER3_HD_
197,011405_LUS_OEXORCISMO_|027490_LUS_TOMASEAMIGANIMZOO_63527_695659D_|008770_LUS_STEPUP3_|000069_LUS_TMNTNOVAAVENTURA_|001522_LUS_YOUNGPEOPLEFUCKING_|002008_LUS_QUEMQUERSMILION_HD_|021994_LUS_FILHOSHUANGSHI_58175000_|012899_LUS_ARVOREDAVIDA_|019932_LUS_AMIGOSIMPROVAVEIS_VP_64400000_|008742_LUS_HACHIKO_|020180_LUS_DESCARADAMENTEINFIEIS_64420000_|026516_LUS_CELESTEJESSEMPRE_65219000_|002578_LUS_OELEFANTEAZUL_|000293_LUS_WINX_VP_|004537_LUS_PARAMINHAIRMA_
